transaction_id,customer_id,product,category,amount,cost,profit,quantity,discount,transaction_date
TXN0001,CUST001,Security Suite,Software,722.0,150,572.0,1,0.05,2026-04-24
TXN0002,CUST001,Security Suite,Software,684.0,150,534.0,1,0.1,2025-03-29
TXN0003,CUST001,Custom Training Workshop,Services,2256.25,1200,1056.25,1,0.05,2026-02-01
TXN0004,CUST001,Developer Laptop,Hardware,4560.0,3900,660.0,3,0.2,2025-08-26
TXN0005,CUST001,Custom Training Workshop,Services,1900.0,1200,700.0,1,0.2,2025-03-30
TXN0006,CUST001,Security Suite,Software,760.0,150,610.0,1,0.0,2024-08-31
TXN0007,CUST001,Cloud Platform,Software,1140.0,200,940.0,1,0.0,2025-01-22
TXN0008,CUST001,Enterprise Support (Annual),Services,7600.0,4500,3100.0,1,0.0,2026-04-27
TXN0009,CUST001,Smart Gateway,Hardware,1282.5,750,532.5,3,0.0,2026-05-15
TXN0010,CUST001,Smart Gateway,Hardware,384.75,250,134.75,1,0.1,2025-01-16
TXN0011,CUST001,Edge Server,Hardware,3158.75,2200,958.75,1,0.05,2024-12-10
TXN0012,CUST001,Cloud Platform,Software,1026.0,200,826.0,1,0.1,2025-02-18
TXN0013,CUST001,Custom Training Workshop,Services,9500.0,4800,4700.0,4,0.0,2026-01-21
TXN0014,CUST002,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2026-01-07
TXN0015,CUST002,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2025-08-07
TXN0016,CUST002,Enterprise Support (Annual),Services,16000.0,9000,7000.0,2,0.0,2025-04-19
TXN0017,CUST002,Custom Training Workshop,Services,2500.0,1200,1300.0,1,0.0,2024-09-23
TXN0018,CUST002,Enterprise Support (Annual),Services,7200.0,4500,2700.0,1,0.1,2026-03-26
TXN0019,CUST002,Smart Gateway,Hardware,765.0,500,265.0,2,0.15,2024-07-30
TXN0020,CUST002,Enterprise Support (Annual),Services,16000.0,9000,7000.0,2,0.0,2024-08-05
TXN0021,CUST002,Developer Laptop,Hardware,2000.0,1300,700.0,1,0.0,2024-05-05
TXN0022,CUST002,Analytics Engine,Software,1500.0,300,1200.0,1,0.0,2024-05-19
TXN0023,CUST002,Smart Gateway,Hardware,450.0,250,200.0,1,0.0,2025-12-11
TXN0024,CUST003,Collaboration Tool,Software,769.5,150,619.5,3,0.1,2026-02-20
TXN0025,CUST003,Custom Training Workshop,Services,2375.0,1200,1175.0,1,0.0,2025-09-08
TXN0026,CUST003,Smart Gateway,Hardware,812.25,500,312.25,2,0.05,2026-05-31
TXN0027,CUST003,Analytics Engine,Software,1211.25,300,911.25,1,0.15,2025-10-04
TXN0028,CUST003,Enterprise Support (Annual),Services,6080.0,4500,1580.0,1,0.2,2026-04-20
TXN0029,CUST003,Cloud Migration Consultation,Services,4750.0,3000,1750.0,1,0.0,2026-01-08
TXN0030,CUST003,Security Suite,Software,3230.0,750,2480.0,5,0.15,2026-04-04
TXN0031,CUST004,Cloud Migration Consultation,Services,4500.0,3000,1500.0,1,0.1,2026-01-18
TXN0032,CUST004,Enterprise Support (Annual),Services,8000.0,4500,3500.0,1,0.0,2026-04-28
TXN0033,CUST004,Collaboration Tool,Software,300.0,50,250.0,1,0.0,2026-04-18
